ID,Settlement,Architectural/Urban Remains,Ethnicity_A1,Ethnicity_A2,Ethnicity_B1,Ethnicity_B2,Ethnicity_C1,Ethnicity_C2,Start Date,End Date,Roman Province 1,Roman Province 2,Legal Status A,Legal Status B,Legal Status C,Via,Conventus,Mint,Excavated,Modern Place,Modern Region,Modern Province,Pleiades URI,IAPH,TM URI,Wikipedia,,,
57,Carmo,,Iberian,Iberian,Punic,Punic,Roman republican,Roman,-750,640,Ulterior,Baetica,Municipium,,,,Conventus Hispalensis,VERDADERO,VERDADERO,Carmona,Sevilla,Andalucía,https://pleiades.stoa.org/places/256058,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i7542&ids=410240090,http://www.trismegistos.org/place/26206,https://en.wikipedia.org/wiki/Carmona/_Spain,,,
58,Carruca,,,,,,,,-330,300,,Baetica,Municipium Flavium,,,,Conventus Astigitanus,FALSO,VERDADERO,Cortijo de los Cosme/ Écija,Sevilla,Andalucía,https://pleiades.stoa.org/places/256062,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i15692,http://www.trismegistos.org/place/26590,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
59,Carteia,,Iberian,Iberian,Punic,Punic,Roman republican,Roman,-750,640,,Baetica,Colonia Latina Libertinorum,,,,Conventus Gaditanus,VERDADERO,VERDADERO,San Roque Cortijo del Rocadillo,Sevilla,Andalucía,https://pleiades.stoa.org/places/256063,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i16079,http://www.trismegistos.org/place/26013,https://es.wikipedia.org/wiki/Carteia,,,
60,Cartima,,Punic,Punic,Roman republican,Roman,,,-330,300,,Baetica,Civitas,Municipium,,,Conventus Gaditanus,FALSO,VERDADERO,Cartama/ Málaga,Málaga,Andalucía,https://pleiades.stoa.org/places/265851,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3004,http://www.trismegistos.org/place/26177,https://es.wikipedia.org/wiki/C%C3%A1rtama,,,
61,Carula,,,,,,,,-550,300,,Baetica,,,,,Conventus Astigitanus,FALSO,,Marchena,Seville,Andalucía,https://pleiades.stoa.org/places/256065,,http://www.trismegistos.org/place/26232,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
62,Castra Postumiana,,Oretani,Iberian,Roman republican,Roman,,,-330,-30,,Baetica,Municipium Contributum Ipscense,,,,,FALSO,,(Castro del Río/ Córdoba): véase Ipsca,Córdoba,Andalucía,https://pleiades.stoa.org/places/265853,,http://www.trismegistos.org/place/26610,https://es.wikipedia.org/wiki/Castro_del_R%C3%ADo,,,
63,Castulo/ Kastilo,,Oretani,Iberian,Roman republican,Roman,,,-550,640,Ulterior,Tarraconensis,Civitas foederata,Municipium Castulonense,,,In the border,VERDADERO,VERDADERO,Castulo,Jaén,Andalucía,https://pleiades.stoa.org/places/265855,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i4878&ids=230550053,https://www.trismegistos.org/place/26610,https://en.wikipedia.org/wiki/Castulo,,,
64,Caura,,Phoenician,Phoenician,Roman republican,Roman,,,-330,300,,Baetica,,,,,Conventus Hispalensis,VERDADERO,VERDADERO,(«Cerro de San Juan» Coria del Río/ Sevilla),Seville,Andalucía,https://pleiades.stoa.org/places/256086,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3245,http://www.trismegistos.org/place/26214,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
65,Caviclum,,,,,,,,-30,640,,Baetica,,,,,,FALSO,,(Torrox/ Málaga),Málaga,Andalucía,https://pleiades.stoa.org/places/265857,,http://www.trismegistos.org/place/40876,https://es.wikipedia.org/wiki/Caviclum,,,
66,Celti,Cyclopean building; mosaic; capitals; bases of columns; buildings remains; aqueduct remains,Phoenician,Phoenician,Turdetanian,Iberian,Roman republican,Roman,-330,640,,Baetica,Roman town,,,,Conventus Hispalensis,VERDADERO,VERDADERO,(Peñaflor/ Sevilla),Seville,Andalucía,https://pleiades.stoa.org/places/256089,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i6844,http://www.trismegistos.org/place/26240,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
67,Cerit,,,,,,,,,,,,,,,,,VERDADERO,VERDADERO,,,,no info,,,,,,
68,Cilniana,,,,,,,,-30,640,,Baetica,,,,,Conventus Gaditanus,FALSO,,(Estepona/ Málaga),Málaga,Andalucía,https://pleiades.stoa.org/places/256106,,http://www.trismegistos.org/place/40878,https://es.wikipedia.org/wiki/Cilniana,,,
69,Cisimbrium,,Roman republican,Roman,,,,,-330,300,,Baetica,Municipium Flavium,,,,Conventus Astigitanus,,,Zambra/ Lucena/ Córdoba,Córdoba,Andalucía,https://pleiades.stoa.org/places/265867,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i20028&ids=140580007,http://www.trismegistos.org/place/26043,https://es.wikipedia.org/wiki/Zambra_(Espa%C3%B1a),,,
70,Contosolia,,,,,,,,-30,300,,Baetica,,,,,Conventus Cordubensis,FALSO,,(Magacela/ Badajoz),Badajoz,Extremadura,https://pleiades.stoa.org/places/256125,,http://www.trismegistos.org/place/38510,https://es.wikipedia.org/wiki/La_Serena_(Badajoz),,,
71,Contributa,,,,,,,,-30,640,,Baetica,Municpium,,,,Conventus Hispalensis,FALSO,,Fuente de Cantos,Badajoz,Extremadura,https://pleiades.stoa.org/places/256126,,http://www.trismegistos.org/place/26298,https://es.wikipedia.org/wiki/Fuente_de_Cantos,,,
72,Corduba,,Turdetani,Iberian,Roman republican,Roman,,,-330,640,Ulterior,Baetica,Colonia Patricia,,,,Conventus Cordubensis,VERDADERO,VERDADERO,Alcolea de Córdoba,córdoba,Andalucía,https://pleiades.stoa.org/places/256128,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i24051&ids=140210065,http://www.trismegistos.org/place/19895,https://es.wikipedia.org/wiki/Corduba,,,
73,Corticata,,,,,,,,-30,300,,Baetica,,,,,Conventus Cordubensis,FALSO,,Cortegana,Huelva,Andalucía,https://pleiades.stoa.org/places/236445,,http://www.trismegistos.org/place/38980,https://es.wikipedia.org/wiki/Cortegana_(Huelva),,,
74,Cun(v)baria,,,,,,,,-330,640,,Baetica,Municipium Flavium,,,,Conventus Cordubensis,VERDADERO,VERDADERO,(Las Cabezas de San Juan/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256124,,http://www.trismegistos.org/place/26203,https://es.wikipedia.org/wiki/Conobaria,,,
75,Curiga,,,,,,,,-330,640,,Baetica,,,,,Conventus Hispalensis,FALSO,,Monesterio,Badajoz,Andalucía,https://pleiades.stoa.org/places/256147,,http://www.trismegistos.org/place/26300,https://es.wikipedia.org/wiki/Monesterio#Situaci.C3.B3n,,,
76,Detumo Sisipo,,,,,,,,-330,300,,Baetica,,,,,Conventus Cordubensis,VERDADERO,VERDADERO,cerca de Posadas,Córdoba,Andalucía,https://pleiades.stoa.org/places/256149,,https://www.trismegistos.org/place/26052,,,,
77,Ébora,,Roman republican,Roman,,,,,-30,640,,Baetica,,,,,Conventus Gaditanus,VERDADERO,VERDADERO,«Cortijo de Ebora» Sanlúcar de Barrameda,Cádiz,Andalucía,https://pleiades.stoa.org/places/255962,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i7982,https://www.trismegistos.org/place/25797,https://es.wikipedia.org/wiki/%C3%89bora,,,
78,Ebura Cerealis,,,,,,,,-30,300,,Baetica,,,,,Conventus Astigitanus,VERDADERO,,¿Alcalá la Real?,Jaén,Andalucía,https://pleiades.stoa.org/places/265882,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
79,El Laderón,,Iberian,Iberian,Roman republican,Roman,,,-30,300,,Baetica,,,,,Conventus Astigitanus,FALSO,VERDADERO,Doña Mencía,córdoba,Andalucía,https://pleiades.stoa.org/places/265945,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i6340,http://www.trismegistos.org/place/26030,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
80,El Tajo,,,,,,,,-30,300,,Baetica,,,,,Conventus Astigitanus,FALSO,,Cortijo del Tajo,Málaga,Andalucía,https://pleiades.stoa.org/places/256135,,http://www.trismegistos.org/place/38965,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
81,Epora,,,,,,,,-330,640,,Baetica,Municipium Foederatum,,,,Conventus Cordubensis,VERDADERO,,Montoro,Córdoba,Andalucía,https://pleiades.stoa.org/places/265893,,http://www.trismegistos.org/place/26047,https://es.wikipedia.org/wiki/Montoro,,,
82,Fodina Aerariae,,,,,,,,-30,300,,Baetica,,,,,Conventus Hispalensis,FALSO,,Minas de Riotinto,Huelva,Andalucía,https://pleiades.stoa.org/places/256170,,http://www.trismegistos.org/place/38997,https://es.wikipedia.org/wiki/Minas_de_Riotinto,,,
83,Fornacis,,,,,,,,,,,Baetica,Oppidum,,,,Conventus Hispalensis,FALSO,,«Cerro Hornachuelos» Ribera del Fresno,Badajoz,Extremadura,https://pleiades.stoa.org/places/256362,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
84,Fraxinum,,,,,,,,-30,640,,Baetica,,,,,,FALSO,,Los Castellones de Ceal,Jaén,Andalucía,https://pleiades.stoa.org/places/265900,,https://www.trismegistos.org/place/40872,,,,
85,Fuente Alamo,,Roman republican,Roman,,,,,-30,300,,Baetica,Fundation Julio-Claudia (roman villa),,,,Conventus Cordubensis,FALSO,VERDADERO,Fuente Álamo,Córdoba,Andalucía,http://dare.ht.lu.se/places/40005.html,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i20157,,https://cordobapedia.wikanda.es/wiki/Villa_romana_de_Fuente_%C3%81lamo,,,
86,Gades,,Phoenician,Phoenician,Roman republican,Roman,,,-750,640,,Baetica,Civitas foederatum,Municipium,Colonia,,Conventus Gaditanus,VERDADERO,VERDADERO,(Cádiz),Cádiz,Andalucía,https://pleiades.stoa.org/places/256177,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3471&ids=110120073,http://www.trismegistos.org/place/13580,https://es.wikipedia.org/wiki/Gades,,,
87,Gaditanus Portus,,Phoenician,Phoenician,Roman republican,Roman,,,-330,640,,Baetica,Portus,,,,Conventus Gaditanus,FALSO,,(Cádiz),Cádiz,Andalucía,https://pleiades.stoa.org/places/255955,,www.trismegistos.org/place/25997,https://es.wikipedia.org/wiki/Portus_Gaditanus,,,
88,Hispalis Romula,,Roman republican,Roman,,,,,-750,640,Ulterior,Baetica,Colonia Iulia Romula,,,,Conventus Hispalensis,VERDADERO,VERDADERO,(Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256210,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i4601&ids=410910002,http://www.trismegistos.org/place/26250,https://en.wikipedia.org/wiki/Seville,,,
89,Igabrum,,,,,,,,-30,640,,Baetica,Municipium Flavium,,,,Conventus Astigitanus,FALSO,,(Cabra/ Córdoba),Córdoba,Andalucía,https://pleiades.stoa.org/places/265919,,http://www.trismegistos.org/place/26022,https://es.wikipedia.org/wiki/Cabra_(C%C3%B3rdoba),,,
90,Iliberri/Iliberris,house; cisterns; roads; temples,Iberian,Iberian,Roman republican,Roman,,,-330,640,,Baetica,Civitas stipendiaria,Municipium,,,Conventus Astigitanus,VERDADERO,VERDADERO,Albaicín,Granada,Andalucía,https://pleiades.stoa.org/places/265921,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i4214&ids=180870225,http://www.trismegistos.org/place/14135,https://es.wikipedia.org/wiki/Il%C3%ADberis,,,
91,Ilipa Magna,,Turdetani,Iberian,Roman republican,Roman,,,-550,640,,Baetica,,,,,Conventus Hispalensis,VERDADERO,,(Alcalá del Río/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256222,,https://www.trismegistos.org/place/26195,https://es.wikipedia.org/wiki/Ilipa,,,
92,Ilipoula/ Ilipla,,Turdetani,Iberian,Roman republican,Roman,,,-550,640,,Baetica,Municipium Flavium,,,,Conventus Hispalensis,VERDADERO,VERDADERO,Niebla,Huelva,Andalucía,https://pleiades.stoa.org/places/256221,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i19783,https://www.trismegistos.org/place/26125,https://es.wikipedia.org/wiki/Niebla_(Espa%C3%B1a),,,
93,Ilipula Minor,,Turdetani,Iberian,Roman republican,Roman,,,-330,300,,Baetica,Municipium Flavium,,,,Conventus Astigitanus,VERDADERO,,(«Cortijo de Repla» Los Corrales/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256224,,https://www.trismegistos.org/place/26216,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
94,Iliturgi,,Turduli,Iberian,Punic,Punic,Roman republican,Roman,-330,640,,Baetica,Colonia Forum Iulia,,,,Conventus Cordubensis,VERDADERO,VERDADERO,«Cerro Máquiz» Mengíbar/ Jaén,Jaén,Andalucía,https://pleiades.stoa.org/places/265924,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i13609,https://www.trismegistos.org/place/26158,https://es.wikipedia.org/wiki/Iliturgi,,,
95,Iliturgicola,,,,,,,,-30,300,,Baetica,,,,,Conventus Astigitanus,FALSO,,(Fuente Tójar/ Córdoba),Cordoba,Andalucía,https://pleiades.stoa.org/places/265925,,https://www.trismegistos.org/place/26037,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
96,Ilse,,,,,,,,,,,,,,,,,VERDADERO,,,,,no info,,,,,,
97,Ilurco,Termae; buildings; Dinastic temple with chapitel,Iberian,Iberian,Roman republican,Roman,,,-30,300,,Baetica,"Oppidum celeberrimum Plinio (III, 3 10)",Civitas stipendiaria,Municpium Flavium,,Conventus Astigitanus,VERDADERO,VERDADERO,Cerro de los Infantes,Granada,Andalucía,https://pleiades.stoa.org/places/265930,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i14835,https://www.trismegistos.org/place/26095,https://es.wikipedia.org/wiki/Cerro_de_los_Infantes,,,
98,Iluro,,,,,,,,-330,300,,Baetica,,,,,Conventus Gaditanus,FALSO,,Alora,Málaga,Andalucía,https://pleiades.stoa.org/places/256225,,https://www.trismegistos.org/place/26171,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
99,Ipagrum,,,,,,,,-330,640,,Baetica,Municipium,,,,Conventus Astigitanus,FALSO,,«Dehesa de los Moriles» Aguilar de la Frontera,Córdoba,Andalucía,https://pleiades.stoa.org/places/256226,,https://www.trismegistos.org/place/26011,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
100,Ipolcobulcola,,,,,,,,-30,300,,Baetica,Municipium,,,,Conventus Astigitanus,FALSO,,(Carcabue// Córdoba),Córdoba,Andalucía,https://pleiades.stoa.org/places/265935,,https://www.trismegistos.org/place/26024,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
101,Iponoba,,,,,,,,-30,300,,Baetica,Municipium Flavium,,,,Conventus Astigitanus,FALSO,,(«Cerro de Minguillar»/ Baena/ Córdoba),Córdoba,Andalucía,https://pleiades.stoa.org/places/265936,,https://www.trismegistos.org/place/26016,https://es.wikipedia.org/wiki/Iponuba,,,
102,Iporca,,,,,,,,-30,300,,Baetica,Municipium Flavium,,,,Conventus Hispalensis,FALSO,,(Constantina/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256227,,http://www.trismegistos.org/place/26594,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
103,Ipsca,,,,,,,,-330,300,,Baetica,Municipium Contributum Ipscense,,,,Conventus Astigitanus,FALSO,,(«Cortijo de Izcar» Baena/ Córdoba),Córdoba,Andalucía,https://pleiades.stoa.org/places/265937,,https://www.trismegistos.org/place/26015,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
104,Iptuci,,Turdetani,Iberian,Punic,Punic,Roman republican,Roman,-330,300,,Baetica,Colonia,,,,Conventus Gaditanus,VERDADERO,VERDADERO,Cabezo de Hortales,Cádiz,Andalucía,https://pleiades.stoa.org/places/265938,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i19978,https://www.trismegistos.org/place/25996,https://es.wikipedia.org/wiki/Iptuci,,,
105,Irippo,,,,,,,,-330,300,,Baetica,,,,,Conventus Hispalensis,VERDADERO,,(«Mesa de Gandul»/ Alcalá de Guadaíra/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256229,,,https://es.wikipedia.org/wiki/Gandul_(despoblado),,,
106,Irni,,,,,,,,-30,300,,Baetica,Municipium Flavium,,,,Conventus Hispalensis,FALSO,,(El Saucejo/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256230,,https://www.trismegistos.org/place/26249,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9ticahttps://es.wikipedia.org/wiki/El_Saucejo,,,
107,Isturgi,,Turdetani,Iberian,Roman republican,Roman,,,-30,640,,Baetica,Municipium Triunphalis,,,,Conventus Cordubensis,FALSO,VERDADERO,(Los Villares/ Andújar/ Jaén),Jaén,Andalucía,https://pleiades.stoa.org/places/265939,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i6029,https://www.trismegistos.org/place/26135,https://es.wikipedia.org/wiki/And%C3%BAjar,,,
108,Italica,theater; amphitheater; houses; thermal baths; temple; forum,Turdetani,Iberian,Roman republican,Roman,,,-330,640,Ulterior,Baetica,Municipium Civium Romanorum,Colonia Aelia Augusta Itálica.,,,Conventus Hispalensis,VERDADERO,VERDADERO,(Santiponce/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256231,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i4607,https://www.trismegistos.org/place/26248,https://es.wikipedia.org/wiki/It%C3%A1lica,,,
109,Ituci,,,,,,,,-550,640,,Baetica,Colonia Augusta,,,,Conventus Hispalensis,VERDADERO,,Tejada la Nueva,Huelva,Andalucía,https://pleiades.stoa.org/places/256232,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
110,Ituci Virtus Iulia,,,,,,,,-330,300,,Baetica,Colonia Virtus Iulia,,,,Conventus Astigitanus,FALSO,,(Torreparedones/ Baena?),Córdoba,Andalucía,https://pleiades.stoa.org/places/265938,,https://www.trismegistos.org/place/26017,https://es.wikipedia.org/wiki//acimiento_arqueol%C3%B3gico_de_Torreparedones,,,
111,Iulia Traducta,,,,,,,,-30,640,,Baetica,Colonia Iulia,,,,Conventus Gaditanus,FALSO,,(Algeciras/ Cádiz),Cádiz,Andalucía,https://pleiades.stoa.org/places/256235,,https://www.trismegistos.org/place/25981,https://es.wikipedia.org/wiki/Iulia_Traducta,,,
112,Iulipa,,,,,,,,-330,300,,Baetica,Municipium Flavium,,,,Conventus Cordubensis,FALSO,,(Esparragosa de la Serena/ Badajoz),Badajoz,Extremadura,https://pleiades.stoa.org/places/256236,,https://www.trismegistos.org/place/26333,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
113,Lacca,,Roman republican,Roman,,,,,-30,300,,Baetica,,,,,Conventus Gaditanus,FALSO,VERDADERO,Arcos de la Frontera/ Cádiz),Cádiz,Andalucía,https://pleiades.stoa.org/places/256247,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i2086,https://www.trismegistos.org/place/25990,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
