ID,Settlement,Architectural/Urban Remains,Ethnicity_A1,Ethnicity_A2,Ethnicity_B1,Ethnicity_B2,Ethnicity_C1,Ethnicity_C2,Start Date,End Date,Roman Province 1,Roman Province 2,Legal Status A,Legal Status B,Legal Status C,Via,Conventus,Mint,Excavated,Modern Place,Modern Region,Modern Province,Pleiades URI,IAPH,TM URI,Wikipedia,,,
170,Salpesa,,Turdetani,Iberian,Roman republican,Roman,,,-330,300,,Baetica,Municipium Flavium,,,,Conventus Hispalensis,VERDADERO,,(«El Casar» Utrera/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256417,,https://www.trismegistos.org/place/26253,https://es.wikipedia.org/wiki/Salpensa,,,
171,Saudo,,Bastuli,Iberian,Roman republican,Roman,,,-30,640,,Baetica,Estipendiaria,,,,Conventus Gaditanus,FALSO,,(Cortijo del Jaulón/ Arcos de la Frontera/ Cádiz),Cádiz,Andalucía,https://pleiades.stoa.org/places/256437,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
172,Searo,,,,,,,,-330,300,,Baetica,,,,,Conventus Hispalensis,VERDADERO,,Torre del Águila,Sevilla,Andalucía,http://pleiades.stoa.org/places/256449,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
173,Segida Augurina,,Bastuli,Iberian,Roman republican,Roman,,,-30,300,,Baetica,Municipium Latio,,,,Conventus Astigitanus,FALSO,,(Palma del Río/ Córdoba),Córdoba,Andalucía,https://pleiades.stoa.org/places/256440,,https://www.trismegistos.org/place/26050,https://es.wikipedia.org/wiki/Palma_del_R%C3%ADo,,,
174,Segida Restituta Iulia,,Celtic,Celtic,Roman republican,Roman,,,-330,300,,Baetica,Municipium Latio,,,,Conventus Hispalensis,FALSO,,(Burguillos del Cerro/ Badajoz),Badajoz,Extremadura,https://pleiades.stoa.org/places/256439,,https://www.trismegistos.org/place/26331,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
175,Selambina,,Phoenician,Phoenician,Roman republican,Roman,,,-30,300,,Baetica,Estipendiaria,,,,Conventus Astigitanus,FALSO,,(Salobreña/ Granada),Granada,Andalucía,https://pleiades.stoa.org/places/266037,,https://www.trismegistos.org/place/51698,https://es.wikipedia.org/wiki/Salobre%C3%B1a,,,
176,Seria Fama Iulia,,,,,,,,-30,640,,Baetica,Municipium,,,,Conventus Hispalensis,FALSO,,(Jerez de los Caballeros/ Badajoz),Badajoz,Andalucía,https://pleiades.stoa.org/places/256444,,https://www.trismegistos.org/place/26294,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
177,Serippo,,,,,,,,-330,300,,Baetica,,,,,Conventus Hispalensis,FALSO,,(Los Molares/ Utrera/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256229,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
178,Sexs (sexi),,Phoenician,Phoenician,Roman republican,Roman,,,-750,640,,Baetica,Colonia,,,,Conventus Gaditanus,VERDADERO,VERDADERO,Caesarea Augustana (Almuñécar/ Granada),Granada,Andalucía,https://pleiades.stoa.org/places/266038,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i24035,https://www.trismegistos.org/place/10608,https://en.wikipedia.org/wiki/Sexi_(Phoenician_colony),,,
179,Singilia Barba,,Roman,Roman,Roman republican,Roman,,,-30,640,,Baetica,Municipioum Flavium Liberum,,,,Conventus Astigitanus,FALSO,VERDADERO,Cortijo del Castillon Antequera,Málaga,Andalucía,https://pleiades.stoa.org/places/256453,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3880,https://www.trismegistos.org/place/26611,https://es.wikipedia.org/wiki/Singilia_Barba,,,
180,Sirpense,,,,,,,,,,,,,,,,,VERDADERO,,,,,no info,,,,,,
181,Sisapo Vetus,,Turduli,Iberian,Roman republican,Roman,,,-330,640,,Baetica,Municipium,,,,Conventus Cordubensis,VERDADERO,,Almodovar del Campo,Ciudad Real,Castilla la Mancha,https://pleiades.stoa.org/places/266043,,https://www.trismegistos.org/place/26259,https://es.wikipedia.org/wiki/Sisapo,,,
182,Solia,,,,,,,,-30,640,,Baetica,,,,,Conventus Cordubensis,FALSO,,(Fuencaliente/ Ciudad Real),Ciudad Real,Castilla la Mancha,https://pleiades.stoa.org/places/256456,,https://www.trismegistos.org/place/26040,https://es.wikipedia.org/wiki/Solia,,,
183,Soricaria,,,,,,,,,,,,,,,,Conventus Astigitanus,FALSO,,Plaza de Armas/ Nueva Carte/a,,,https://pleiades.stoa.org/places/270373,,https://www.trismegistos.org/place/26028,https://es.wikipedia.org/wiki/Montemayor,,,
184,Sosontigi,,,,,,,,-30,300,,Baetica,Municipium Flavium,,,,Conventus Astigitanus,FALSO,,(Alcaudete/ Jaén),Jaen,Andalucía,https://pleiades.stoa.org/places/266048,,https://www.trismegistos.org/place/26134,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
185,Sucaelo,,,,,,,,,,,,,,,,Conventus Astigitanus,FALSO,,¿Cerro de las Cabezas? Fuente Tojar,,,https://pleiades.stoa.org/places/270374,,https://www.trismegistos.org/place/43874,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
186,Suel,,Phoenician,Phoenician,Roman republican,Roman,,,-750,640,,Baetica,Municipium,,,,Conventus Gaditanus,FALSO,VERDADERO,(Fuengirola/ Málaga),Málaga,Andalucía,https://pleiades.stoa.org/places/266055,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i7940,https://www.trismegistos.org/place/26182,https://es.wikipedia.org/wiki/Suel,,,
187,Tagilis,,,,,,,,-330,300,,Ulterior,,,,,,VERDADERO,,Tijola,Almeria,Andalucía,https://pleiades.stoa.org/places/266058,,,,,,
188,Tharsis,,,,,,,,-750,640,,Baetica,Municipium Flavium Liberum,,,,Conventus Hispalensis,FALSO,,(«Cortijo El Castillón» Antequera/ Málaga),Málaga,Andalucía,https://pleiades.stoa.org/places/256470,,https://www.trismegistos.org/place/39057,https://es.wikipedia.org/wiki/Tharsis_(Alosno),,,
189,Traducta,,Punic,Punic,Roman republican,Roman,,,-30,640,,Baetica,Colonia,,,,Conventus Gaditanus,VERDADERO,VERDADERO,"Tingetera, Algeciras",Cádiz,Andalucía,https://pleiades.stoa.org/places/256235/iulia-ioza,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i6873&ids=110040049,https://www.trismegistos.org/place/25981,https://es.wikipedia.org/wiki/Iulia_Traducta,,,
190,Tucci,,Iberian,Iberian,Roman republican,Roman,,,-330,640,,Baetica,Colonia Augusta,,,,Conventus Astigitanus,FALSO,VERDADERO,Colonia Augusta Gemella (Martos/ Jaén),Jaén,Andalucía,https://pleiades.stoa.org/places/266070,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i13650,https://www.trismegistos.org/place/26157,https://es.wikipedia.org/wiki/Tucci,,,
191,Tugia,,Iberian,Iberian,Roman republican,Roman,,,-550,640,Ulterior,Tarraconensis,Oppidum,,,,Conventus Astigitanus,FALSO,VERDADERO,"Toya, Peal Del Becerro",Jaén,Andalucia,https://pleiades.stoa.org/places/266072,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i4867,https://www.trismegistos.org/place/26615,https://es.wikipedia.org/wiki/Peal_de_Becerro,,,
192,Turobriga,,Celtic,Celtic,Roman republican,Roman,,,-330,300,,Baetica,,,,,Conventus Hispalensis,FALSO,VERDADERO,(«Llano de San Mamés» Aroche/ Huelva?),Huelva,Andalucía,https://pleiades.stoa.org/places/256494,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i23638,https://www.trismegistos.org/place/40913,https://es.wikipedia.org/wiki/Turobriga,,,
193,Turris Regina,,,,,,,,-330,300,,Baetica,,,,,Conventus Gaditanus,VERDADERO,,(«Cortijo de Casinas» Arcos de la Frontera/ Cádiz),Cádiz,Andalucía,https://pleiades.stoa.org/places/256492,,https://www.trismegistos.org/place/25983,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
194,Tutugi,,Phoenician,Phoenician,Roman republican,Roman,,,-750,640,Ulterior,Baetica,Municipium,,,,,FALSO,VERDADERO,Galera,Granada,Andalucía,https://pleiades.stoa.org/places/266078,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i4246,https://www.trismegistos.org/place/26585,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
195,Ucia,,,,,,,,-330,640,,Baetica,,,,,Conventus Cordubensis,VERDADERO,,(«Cortijo de los Cansinos»/ Marmolejo/ Jaén),Jaen,Andalucía,https://pleiades.stoa.org/places/266051,,https://www.trismegistos.org/place/26156,https://es.wikipedia.org/wiki/Marmolejo,,,
196,Ucubi,,Turdetani,Iberian,Roman republican,Roman,,,-330,300,,Baetica,Colonia Iulia,,,,Conventus Astigitanus,FALSO,VERDADERO,(Espejo/ Córdoba),Córdoba,Andalucía,https://pleiades.stoa.org/places/266081,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i15468&ids=140250015,https://www.trismegistos.org/place/26032,https://es.wikipedia.org/wiki/Espejo_(C%C3%B3rdoba),,,
197,Ugia,,Iberian,Iberian,Roman republican,Roman,,,-750,640,,Baetica,Oppidum,Colonia,,,Conventus Gaditanus,FALSO,VERDADERO,Cabezas de San Juan,Sevilla,Andalucia,https://pleiades.stoa.org/places/256501,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3315,https://www.trismegistos.org/place/33163,https://es.wikipedia.org/wiki/Las_Cabezas_de_San_Juan,,,
198,Ugultunia,,Celtic,Celtic,Roman republican,Roman,,,-30,640,,Baetica,Municipium Contributa Iulia,,,,Conventus Hispalensis,FALSO,,(Los Santos de Maimona/ Badajoz),Badajoz,Extremadura,https://pleiades.stoa.org/places/256126,,https://www.trismegistos.org/place/26298,https://es.wikipedia.org/wiki/Medina_de_las_Torres,,,
199,Ulia,,,,,,,,-330,640,,Baetica,Municipioum Fidentia,,,,Conventus Astigitanus,VERDADERO,,(Montemayor/ Córdoba),Cordoba,Andalucía,https://pleiades.stoa.org/places/256499,,https://www.trismegistos.org/place/26045,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
200,Ulisi,,,,,,,,,,,Baetica,Civitas Stipendiaria,,,,Conventus Astigitanus,FALSO,,Cortijo de la Camila? Archidona,Málaga,Andalucía,no info,,https://www.trismegistos.org/place/26173,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
201,Urgapa,,,,,,,,-30,640,,Baetica,,,,,Conventus Astigitanus,FALSO,,(«Santillán»/ en las salinas de Fuente de Piedra/ Málaga),Málaga,Andalucía,https://pleiades.stoa.org/places/256500,,https://www.trismegistos.org/place/26169,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
202,Urium,,Phoenician,Phoenician,Roman republican,Roman,,,-30,300,,Baetica,,,,,Conventus Hispalensis,FALSO,VERDADERO,,,Andalucía,https://pleiades.stoa.org/places/256497,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i21258,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
203,Urso,,Phoenician,Phoenician,Roman republican,Roman,,,-330,640,Ulterior,Baetica,Colonia Genetiva Iulia,,,,Conventus Astigitanus,VERDADERO,VERDADERO,(Osuna/ Sevilla),Sevilla,Andalucía,https://pleiades.stoa.org/places/256503,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i4884&ids=410680001,https://www.trismegistos.org/place/26236,https://es.wikipedia.org/wiki/Urso,,,
204,Usaepo,,,,,,,,-30,300,,Baetica,Municipium Victrix,,,,Conventus Gaditanus,FALSO,,(«Dehesa de la Fantasía» Cortes de la Frontera/ Málaga),Málaga,Andalucía,https://pleiades.stoa.org/places/256411,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
205,Vama,,,,,,,,-30,300,,Baetica,,,,,Conventus Hispalensis,FALSO,,(La Parra/ Badajoz),Badajoz,Extremadura,https://pleiades.stoa.org/places/256510,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
206,Ventippo,,,,,,,,-330,300,,Baetica,Municipium Flavium,,,,Conventus Astigitanus,VERDADERO,,Cerro de la Atalaya / Casariche,Sevilla,Andalucía,https://pleiades.stoa.org/places/256511,,https://www.trismegistos.org/place/26226,https://es.wikipedia.org/wiki/Casariche#Ventippo,,,
207,Vergilia,,,,,,,,-30,640,,Baetica,Municipium,,,,Conventus Carthaginensis,FALSO,,Albuniel de Cambil,Jaén,Andalucía,https://pleiades.stoa.org/places/266093,,https://www.trismegistos.org/place/26613,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
208,Vesci,,,,,,,,,,,Baetica,,,,,Conventus Gaditanus,VERDADERO,,(«Cerro Gordo o Cerro de la Laguna» Algatocín/ Málaga),Málaga,Andalucía,https://pleiades.stoa.org/places/256314,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
209,Vivatia,,,,,,,,-30,640,Ulterior,Tarraconensis,,,,,,FALSO,,Baza,Jaén,Andalucía,https://pleiades.stoa.org/places/266099,,https://www.trismegistos.org/place/26593,https://en.wikipedia.org/wiki/Baeza,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
